--- REPORT ANALISI GLOSSARIO ---
Data: 2026-02-11 17:47:43
Legenda:
 [ OK (1°) ] -> Termine presente e citato per la prima volta nel file.
 [ RIPETUTO] -> Termine già citato in precedenza nello stesso file (ridondante?).
 [ MISSING ] -> Termine citato ma NON definito nel Glossario.
 [ AMBIGUO ] -> Termine definito 2+ volte nel Glossario (errore grave).
-------------------------------------------------------------------------------------
STATUS         | TERMINE                             | FILE                      | RIGA 
-------------------------------------------------------------------------------------
[MISSING]      | Ingegneria del Software             | PianoDiQualifica.tex      | 137  
[ OK (1°) ]    | attività di progetto                | NormeDiProgetto.tex       | 152  
[MISSING]      | DIPReader                           | NormeDiProgetto.tex       | 153  
[MISSING]      | Sanmarco Informatica                | NormeDiProgetto.tex       | 154  
[MISSING]      | responsabile di progetto            | NormeDiProgetto.tex       | 156  
[MISSING]      | Ingegneria del Software             | NormeDiProgetto.tex       | 161  
[MISSING]      | standard                            | NormeDiProgetto.tex       | 167  
[AMBIGUO:2]    | agili                               | NormeDiProgetto.tex       | 170  
[MISSING]      | iterativi                           | NormeDiProgetto.tex       | 170  
[MISSING]      | sviluppo software                   | NormeDiProgetto.tex       | 171  
[MISSING]      | processo                            | NormeDiProgetto.tex       | 207  
[MISSING]      | fornitore                           | NormeDiProgetto.tex       | 208  
[ OK (1°) ]    | requisiti                           | NormeDiProgetto.tex       | 214  
[MISSING]      | framework                           | NormeDiProgetto.tex       | 229  
[MISSING]      | proponente                          | NormeDiProgetto.tex       | 258  
[ OK (1°) ]    | stakeholder                         | NormeDiProgetto.tex       | 259  
[MISSING]      | SAL                                 | NormeDiProgetto.tex       | 269  
[ OK (1°) ]    | milestone                           | NormeDiProgetto.tex       | 274  
[ OK (1°) ]    | RTB                                 | NormeDiProgetto.tex       | 274  
[ OK (1°) ]    | PB                                  | NormeDiProgetto.tex       | 275  
[MISSING]      | casi d'uso                          | NormeDiProgetto.tex       | 298  
[MISSING]      | sprint                              | NormeDiProgetto.tex       | 318  
[MISSING]      | cruscotto di qualità                | NormeDiProgetto.tex       | 330  
[ RIPETUTO ]   | RTB                                 | NormeDiProgetto.tex       | 339  
[MISSING]      | Proof of Concept                    | NormeDiProgetto.tex       | 339  
[ OK (1°) ]    | GitHub                              | NormeDiProgetto.tex       | 343  
[ OK (1°) ]    | Jira                                | NormeDiProgetto.tex       | 344  
[ OK (1°) ]    | Analisi dei Requisiti               | NormeDiProgetto.tex       | 370  
[MISSING]      | Requirements and Technology Baseline (RTB) | NormeDiProgetto.tex       | 370  
[MISSING]      | casi d’uso                          | NormeDiProgetto.tex       | 376  
[MISSING]      | Agile                               | NormeDiProgetto.tex       | 493  
[MISSING]      | feedback                            | NormeDiProgetto.tex       | 494  
[MISSING]      | sprint                              | NormeDiProgetto.tex       | 499  
[MISSING]      | responsabile di progetto            | NormeDiProgetto.tex       | 499  
[MISSING]      | proponente                          | NormeDiProgetto.tex       | 504  
[MISSING]      | committente                         | NormeDiProgetto.tex       | 504  
[MISSING]      | sprint                              | NormeDiProgetto.tex       | 516  
[MISSING]      | responsabile                        | NormeDiProgetto.tex       | 517  
[ OK (1°) ]    | issue                               | NormeDiProgetto.tex       | 523  
[ RIPETUTO ]   | Jira                                | NormeDiProgetto.tex       | 529  
[MISSING]      | board                               | NormeDiProgetto.tex       | 529  
[MISSING]      | Scrum                               | NormeDiProgetto.tex       | 529  
[MISSING]      | Sprint                              | NormeDiProgetto.tex       | 529  
[MISSING]      | DashBoard/Cruscotto                 | NormeDiProgetto.tex       | 530  
[MISSING]      | VSCode                              | NormeDiProgetto.tex       | 578  
[MISSING]      | \LaTeX                              | NormeDiProgetto.tex       | 579  
[MISSING]      | Estensione Jira per VSCode          | NormeDiProgetto.tex       | 580  
[ RIPETUTO ]   | GitHub                              | NormeDiProgetto.tex       | 582  
[MISSING]      | responsabile                        | NormeDiProgetto.tex       | 611  
[ RIPETUTO ]   | milestone                           | NormeDiProgetto.tex       | 614  
[ RIPETUTO ]   | GitHub                              | NormeDiProgetto.tex       | 622  
[ RIPETUTO ]   | Jira                                | NormeDiProgetto.tex       | 624  
[MISSING]      | LLM                                 | NormeDiProgetto.tex       | 625  
[MISSING]      | SCIs                                | NormeDiProgetto.tex       | 631  
[MISSING]      | Time Estimate                       | NormeDiProgetto.tex       | 655  
[MISSING]      | Ore produttive                      | NormeDiProgetto.tex       | 669  
[MISSING]      | (PR) Pull Request                   | NormeDiProgetto.tex       | 685  
[MISSING]      | build                               | NormeDiProgetto.tex       | 1089 
[MISSING]      | V-Model                             | NormeDiProgetto.tex       | 1474 
[MISSING]      | schedulazione                       | NormeDiProgetto.tex       | 1510 
[MISSING]      | indicizzazione                      | NormeDiProgetto.tex       | 1623 
[MISSING]      | JQL                                 | NormeDiProgetto.tex       | 1665 
[MISSING]      | Push                                | NormeDiProgetto.tex       | 1681 
[MISSING]      | Quality Gates                       | NormeDiProgetto.tex       | 1681 

-------------------------------------------------------------------------------------
RIEPILOGO:
 Citazioni Valide (Prima occorrenza): 10
 Citazioni RIDONDANTI (Ripetute nel file): 6
 Termini MANCANTI (Non in Glossario): 47
 Definizioni AMBIGUE (Duplicate in Glossario): 1
